[32m[I 2022-07-05 21:47:26,162][0m A new study created in RDB with name: optimizacion_riesgo[0m
[32m[I 2022-07-05 21:48:47,979][0m Trial 0 finished with value: 0.3235590863352115 and parameters: {'sigma': 8.911291396840701, 'a': 12.825008946921738, 'strategy': 'constant', 'add_indicator': False, 'max_depth': 39, 'n_estimators': 1902, 'boosting_type': 'dart', 'num_leaves': 2, 'learning_rate': 0.007584404438426363, 'min_split_gain': 1.1015641051327707, 'min_child_samples': 2020, 'subsample': 0.6473157744390022, 'subsample_freq': 1598, 'colsample_bytree': 0.253685456511494, 'reg_alpha': 61.614873937883566, 'reg_lambda': 60.78926662174745}. Best is trial 0 with value: 0.3235590863352115.[0m
[32m[I 2022-07-05 21:51:25,693][0m Trial 1 finished with value: 0.32957099914172544 and parameters: {'sigma': 18.29596599970901, 'a': 19.149305589790863, 'strategy': 'median', 'add_indicator': True, 'max_depth': 60, 'n_estimators': 2032, 'boosting_type': 'dart', 'num_leaves': 70, 'learning_rate': 1.438410188277584e-05, 'min_split_gain': 7.113920157437662, 'min_child_samples': 1245, 'subsample': 0.7845425773629707, 'subsample_freq': 253, 'colsample_bytree': 0.23151788365194537, 'reg_alpha': 39.64717433814193, 'reg_lambda': 5.413462839787286}. Best is trial 1 with value: 0.32957099914172544.[0m
[32m[I 2022-07-05 21:52:14,496][0m Trial 2 finished with value: 0.3116578415259113 and parameters: {'sigma': 1.0723964322124253, 'a': 16.540748085951364, 'strategy': 'constant', 'add_indicator': False, 'max_depth': 45, 'n_estimators': 2018, 'boosting_type': 'gbdt', 'num_leaves': 7, 'learning_rate': 8.457585844049092e-06, 'min_split_gain': 3.603512442011815, 'min_child_samples': 593, 'subsample': 0.1373401939980342, 'subsample_freq': 869, 'colsample_bytree': 0.9382504697451274, 'reg_alpha': 82.42000109165753, 'reg_lambda': 38.018159893823146}. Best is trial 1 with value: 0.32957099914172544.[0m
[32m[I 2022-07-05 21:54:05,265][0m Trial 3 finished with value: 0.29841547847440913 and parameters: {'sigma': 10.151122384768362, 'a': 2.6851046107940877, 'strategy': 'mean', 'add_indicator': False, 'max_depth': 65, 'n_estimators': 1959, 'boosting_type': 'dart', 'num_leaves': 24522, 'learning_rate': 6.171841340780445e-07, 'min_split_gain': 3.5889049143375376, 'min_child_samples': 3097, 'subsample': 0.3644941844307168, 'subsample_freq': 902, 'colsample_bytree': 0.9100488350628803, 'reg_alpha': 48.115831659414724, 'reg_lambda': 46.12997911852542}. Best is trial 1 with value: 0.32957099914172544.[0m
[32m[I 2022-07-05 21:56:10,539][0m Trial 4 finished with value: 0.31670176109486303 and parameters: {'sigma': 10.554122046490384, 'a': 13.080898955183665, 'strategy': 'median', 'add_indicator': True, 'max_depth': 45, 'n_estimators': 1250, 'boosting_type': 'dart', 'num_leaves': 24, 'learning_rate': 4.5332496567579406e-05, 'min_split_gain': 6.489737184133524, 'min_child_samples': 3472, 'subsample': 0.9054898655217356, 'subsample_freq': 973, 'colsample_bytree': 0.5431962303019237, 'reg_alpha': 8.794124283647609, 'reg_lambda': 95.54389920559318}. Best is trial 1 with value: 0.32957099914172544.[0m
[32m[I 2022-07-05 21:56:53,318][0m Trial 5 finished with value: 0.2892473068611904 and parameters: {'sigma': 10.163499706123272, 'a': 5.0347230425244565, 'strategy': 'most_frequent', 'add_indicator': True, 'max_depth': 2, 'n_estimators': 708, 'boosting_type': 'dart', 'num_leaves': 2, 'learning_rate': 0.000516814938049145, 'min_split_gain': 7.0111258124332965, 'min_child_samples': 156, 'subsample': 0.14861993168978405, 'subsample_freq': 492, 'colsample_bytree': 0.2750761871627431, 'reg_alpha': 10.39394909003233, 'reg_lambda': 55.45135501325705}. Best is trial 1 with value: 0.32957099914172544.[0m
[32m[I 2022-07-05 21:57:28,323][0m Trial 6 finished with value: 0.0 and parameters: {'sigma': 12.282536231733738, 'a': 5.732707229802033, 'strategy': 'mean', 'add_indicator': False, 'max_depth': 40, 'n_estimators': 1891, 'boosting_type': 'rf', 'num_leaves': 849, 'learning_rate': 0.0003465517298856559, 'min_split_gain': 8.197911777604498, 'min_child_samples': 10419, 'subsample': 0.044431269733132495, 'subsample_freq': 1762, 'colsample_bytree': 0.08025735377521523, 'reg_alpha': 30.135080598097485, 'reg_lambda': 49.00372836539282}. Best is trial 1 with value: 0.32957099914172544.[0m
[32m[I 2022-07-05 21:58:21,592][0m Trial 7 finished with value: 0.2831526266933972 and parameters: {'sigma': 2.3227593238183184, 'a': 11.276784202403366, 'strategy': 'constant', 'add_indicator': True, 'max_depth': 22, 'n_estimators': 415, 'boosting_type': 'dart', 'num_leaves': 52371, 'learning_rate': 1.5980620478192838e-06, 'min_split_gain': 0.1790491687365492, 'min_child_samples': 727, 'subsample': 0.1624462799853812, 'subsample_freq': 271, 'colsample_bytree': 0.3889409550067647, 'reg_alpha': 76.0558310441066, 'reg_lambda': 55.03562028407358}. Best is trial 1 with value: 0.32957099914172544.[0m
[32m[I 2022-07-05 21:59:21,373][0m Trial 8 finished with value: 0.3261550022143359 and parameters: {'sigma': 10.628529622768212, 'a': 4.77427434370507, 'strategy': 'mean', 'add_indicator': True, 'max_depth': 92, 'n_estimators': 1341, 'boosting_type': 'rf', 'num_leaves': 3, 'learning_rate': 0.00027479300750003847, 'min_split_gain': 3.4735816748215553, 'min_child_samples': 2023, 'subsample': 0.335466354535743, 'subsample_freq': 1060, 'colsample_bytree': 0.2431099722843674, 'reg_alpha': 6.057156660238638, 'reg_lambda': 56.50839704918058}. Best is trial 1 with value: 0.32957099914172544.[0m
[32m[I 2022-07-05 22:00:11,834][0m Trial 9 finished with value: 0.3396623294457971 and parameters: {'sigma': 9.447002248302542, 'a': 4.340838095602594, 'strategy': 'mean', 'add_indicator': False, 'max_depth': 39, 'n_estimators': 1536, 'boosting_type': 'rf', 'num_leaves': 102, 'learning_rate': 0.00013036062412228968, 'min_split_gain': 3.2534915014659593, 'min_child_samples': 2034, 'subsample': 0.23646556099514748, 'subsample_freq': 1356, 'colsample_bytree': 0.2702929575302311, 'reg_alpha': 35.392955746798094, 'reg_lambda': 45.513968666234646}. Best is trial 9 with value: 0.3396623294457971.[0m
[32m[I 2022-07-05 22:01:24,917][0m Trial 10 finished with value: 0.3001907728698785 and parameters: {'sigma': 5.037807031791509, 'a': 0.1926597382429236, 'strategy': 'most_frequent', 'add_indicator': False, 'max_depth': 81, 'n_estimators': 2840, 'boosting_type': 'rf', 'num_leaves': 1631, 'learning_rate': 0.009829700295679623, 'min_split_gain': 9.397863276471492, 'min_child_samples': 12689, 'subsample': 0.4937619399975867, 'subsample_freq': 2715, 'colsample_bytree': 0.6231232229528363, 'reg_alpha': 23.99927882314326, 'reg_lambda': 20.712902505062946}. Best is trial 9 with value: 0.3396623294457971.[0m
